CASERNE,NO_CIVIQUE,RUE,LATITUDE,LONGITUDE,ARRONDISSEMENT,VILLE,DATE_DEBUT,DATE_FIN,MTM8_X,MTM8_Y
71,5500,chemin du Bois-Franc,45.493954152895405,-73.7442003519122,SAINT-LAURENT,,2019-05-06T07:00:00,,285713.6,5039365.8
72,2727,boulevard Poirier,45.5084313613361,-73.7095763471175,SAINT-LAURENT,,2015-01-01T07:00:00,,288424.0,5040967.0
73,820,rue Saint-Germain,45.512615085335504,-73.67804299495009,SAINT-LAURENT,,2015-01-01T07:00:00,,290889.0,5041426.0
57,13795,boulevard Pierrefonds,45.4937533686966,-73.8498386320894,PIERREFONDS-ROXBORO,,2015-01-01T07:00:00,,277457.0,5039374.0
58,13,rue du Centre Commercial,45.50965267240851,-73.8062958057883,PIERREFONDS-ROXBORO,,2015-01-01T07:00:00,,280867.0,5041127.0
59,18661,Boulevard Pierrefonds,45.45875350333421,-73.89774683132991,PIERREFONDS-ROXBORO,,2015-01-01T07:00:00,,273693.3,5035501.9
35,10827,rue Lajeunesse,45.5560171509645,-73.6702900160447,AHUNTSIC-CARTIERVILLE,,2015-01-01T07:00:00,,291505.0,5046248.0
42,4180,rue De Salaberry,45.5344651001401,-73.7038473241896,AHUNTSIC-CARTIERVILLE,,2015-01-01T07:00:00,,288879.0,5043859.0
43,1945,rue Fleury Est,45.5694040746645,-73.6530090731657,AHUNTSIC-CARTIERVILLE,,2019-05-06T07:00:00,,292857.0,5047733.0
49,10,rue Chabanel Ouest,45.54404938156689,-73.65100667363309,AHUNTSIC-CARTIERVILLE,,2015-01-01T07:00:00,,293008.0,5044915.0
66,4398,boulevard LaSalle,45.45994266172,-73.5627959751586,VERDUN,,2015-01-01T07:00:00,,299889.0,5035559.0
67,911,boulevard René-Lévesque,45.4692142293106,-73.5342486432372,VERDUN,,2015-01-01T07:00:00,,302122.0,5036588.0
65,1300,avenue Dollard,45.42594735730129,-73.6265388805635,LASALLE,,2015-01-01T07:00:00,,294898.0,5031787.0
56,230,boulevard Chèvremont,45.4936778924068,-73.8764122218112,L'ÎLE-BIZARD-SAINTE-GENEVIÈVE,,2015-01-01T07:00:00,,275380.0,5039375.0
52,330,rue Surrey,45.4195992334552,-73.91207790869821,,BAIE-D'URFÉ,2015-01-01T07:00:00,,272550.2,5031156.4
53,310,Beaurepaire drive,45.4287888241933,-73.86841507687801,,BEACONSFIELD,2015-01-01T07:00:00,,275972.0,5032161.0
78,6815,chemin Côte-Saint-Luc,45.46795717699579,-73.6521717096539,,CÔTE-SAINT-LUC,2015-01-01T07:00:00,,292901.0,5036459.0
61,10,rue Sunnydale,45.494039471585,-73.8066461642058,,DOLLARD-DES-ORMEAUX,2015-01-01T07:00:00,,280833.0,5039392.0
62,150,avenue Avro,45.4741960594848,-73.78653496675629,,DORVAL,2015-01-01T07:00:00,,282397.0,5037181.0
63,530,boulevard Bouchard,45.4470563250551,-73.7354409386434,,DORVAL,2019-05-06T07:00:00,,286383.0,5034152.0
79,5520,avenue MacDonald,45.483486932873,-73.6393318377964,,HAMPSTEAD,1900-01-01T07:00:00,2009-11-05T06:59:59,293908.0,5038183.0
54,3048,boulevard Saint-Charles,45.44909288971579,-73.8559930605803,,KIRKLAND,2015-01-01T07:00:00,,276954.0,5034413.0
74,10,avenue Roosevelt,45.51526760912379,-73.64077979074791,,MONT-ROYAL,2015-01-01T07:00:00,,293801.0,5041715.0
8,11371,rue Notre-Dame Est,45.6315496481458,-73.49625489300921,,MONTRÉAL-EST,2015-01-01T07:00:00,,305092.0,5054628.0
77,114,avenue Westminster Nord,45.4537179405426,-73.6480548219311,,MONTRÉAL-OUEST,2015-01-01T07:00:00,,293220.0,5034876.0
55,401,boulevard Saint-Jean,45.447814876512005,-73.8163031936823,,POINTE-CLAIRE,2015-01-01T07:00:00,,280058.0,5034258.0
51,550,boulevard des Anciens-Combattants,45.417779151272896,-73.9500159041546,,SAINTE-ANNE-DE-BELLEVUE,2015-01-01T07:00:00,,269580.0,5030970.0
76,19,rue Stanton,45.4863189887702,-73.5984275366453,,WESTMOUNT,2015-01-01T07:00:00,,297106.0,5038493.0
